Países;Quantidade (Kg);Valor (US$);Year;Category;Subcategory
Africa do Sul;-;-;1970;Importacao;Vinhos_de_Mesa
Alemanha;52.297;30.498;1970;Importacao;Vinhos_de_Mesa
Argélia;-;-;1970;Importacao;Vinhos_de_Mesa
Arábia Saudita;-;-;1970;Importacao;Vinhos_de_Mesa
Argentina;19.525;12.260;1970;Importacao;Vinhos_de_Mesa
Armênia;-;-;1970;Importacao;Vinhos_de_Mesa
Austrália;-;-;1970;Importacao;Vinhos_de_Mesa
Áustria;1.328;707;1970;Importacao;Vinhos_de_Mesa
Bermudas;-;-;1970;Importacao;Vinhos_de_Mesa
Bélgica;-;-;1970;Importacao;Vinhos_de_Mesa
Bolívia;-;-;1970;Importacao;Vinhos_de_Mesa
Bósnia-Herzegovina;-;-;1970;Importacao;Vinhos_de_Mesa
Brasil;-;-;1970;Importacao;Vinhos_de_Mesa
Bulgária;-;-;1970;Importacao;Vinhos_de_Mesa
Canada;-;-;1970;Importacao;Vinhos_de_Mesa
Chile;162.370;101.819;1970;Importacao;Vinhos_de_Mesa
China;-;-;1970;Importacao;Vinhos_de_Mesa
Coreia do Sul, República;-;-;1970;Importacao;Vinhos_de_Mesa
Croácia;-;-;1970;Importacao;Vinhos_de_Mesa
Cuba;-;-;1970;Importacao;Vinhos_de_Mesa
Emirados Árabes Unidos;-;-;1970;Importacao;Vinhos_de_Mesa
Eslovênia;-;-;1970;Importacao;Vinhos_de_Mesa
Eslováquia;-;-;1970;Importacao;Vinhos_de_Mesa
Espanha;261.126;90.159;1970;Importacao;Vinhos_de_Mesa
Estados Unidos;-;-;1970;Importacao;Vinhos_de_Mesa
França;91.544;78.135;1970;Importacao;Vinhos_de_Mesa
Geórgia;-;-;1970;Importacao;Vinhos_de_Mesa
Geórgia do Sul e Sandwich do Sul, Ilhas;-;-;1970;Importacao;Vinhos_de_Mesa
Grécia;-;-;1970;Importacao;Vinhos_de_Mesa
Hong Kong;-;-;1970;Importacao;Vinhos_de_Mesa
Hungria;-;-;1970;Importacao;Vinhos_de_Mesa
Indonésia;-;-;1970;Importacao;Vinhos_de_Mesa
Irlanda;-;-;1970;Importacao;Vinhos_de_Mesa
Israel;-;-;1970;Importacao;Vinhos_de_Mesa
Itália;58.802;32.376;1970;Importacao;Vinhos_de_Mesa
Japão;-;-;1970;Importacao;Vinhos_de_Mesa
Iugoslávia;702;326;1970;Importacao;Vinhos_de_Mesa
Líbano;-;-;1970;Importacao;Vinhos_de_Mesa
Luxemburgo;-;-;1970;Importacao;Vinhos_de_Mesa
Macedônia;-;-;1970;Importacao;Vinhos_de_Mesa
