Cultivar;Quantidade (Kg);Year;Category;Subcategory
TINTAS;10.448.228;1970;Processamento;Viniferas
Alicante Bouschet;-;1970;Processamento;Viniferas
Ancelota;-;1970;Processamento;Viniferas
Aramon;-;1970;Processamento;Viniferas
Alfrocheiro;-;1970;Processamento;Viniferas
Arinarnoa;-;1970;Processamento;Viniferas
Aspirant Bouschet;-;1970;Processamento;Viniferas
Barbera;4.548.313;1970;Processamento;Viniferas
Bonarda;1.631.610;1970;Processamento;Viniferas
Cabernet Franc;238.837;1970;Processamento;Viniferas
Cabernet Sauvignon;-;1970;Processamento;Viniferas
Caladoc;-;1970;Processamento;Viniferas
Campanario;-;1970;Processamento;Viniferas
Canaiolo;596.766;1970;Processamento;Viniferas
Carignan;-;1970;Processamento;Viniferas
Carmenere;1.235;1970;Processamento;Viniferas
Castelão;-;1970;Processamento;Viniferas
Corvina;-;1970;Processamento;Viniferas
Croatina;-;1970;Processamento;Viniferas
Cinsaut;-;1970;Processamento;Viniferas
Dom Felder;-;1970;Processamento;Viniferas
Dolcetto;-;1970;Processamento;Viniferas
Durif;-;1970;Processamento;Viniferas
Egiodola;-;1970;Processamento;Viniferas
Ekigaina;-;1970;Processamento;Viniferas
Festival (Sugraone);-;1970;Processamento;Viniferas
Franconia;-;1970;Processamento;Viniferas
Freisa;1.661;1970;Processamento;Viniferas
Gamay St Romain;-;1970;Processamento;Viniferas
Gamay Beaujolais;-;1970;Processamento;Viniferas
Grand Noir;-;1970;Processamento;Viniferas
Grenache;19.753;1970;Processamento;Viniferas
Jaen;-;1970;Processamento;Viniferas
Lagrein;-;1970;Processamento;Viniferas
Lambrusco;2.259;1970;Processamento;Viniferas
Malbec;4.097;1970;Processamento;Viniferas
Marzemina;62.546;1970;Processamento;Viniferas
Merlot;185.596;1970;Processamento;Viniferas
Marselan;-;1970;Processamento;Viniferas
Mistura de uvas viníferas tinto;-;1970;Processamento;Viniferas
Molinera;-;1970;Processamento;Viniferas
Montepulciano;-;1970;Processamento;Viniferas
Moscato Bailey;-;1970;Processamento;Viniferas
Napa Gamay;-;1970;Processamento;Viniferas
Nebbiolo;-;1970;Processamento;Viniferas
Petit Verdot;-;1970;Processamento;Viniferas
Petite Sirah;-;1970;Processamento;Viniferas
Pinotage;-;1970;Processamento;Viniferas
Pinot Noir;-;1970;Processamento;Viniferas
Pinot Saint George;-;1970;Processamento;Viniferas
Piriquita;-;1970;Processamento;Viniferas
Primitivo;-;1970;Processamento;Viniferas
Rebo;-;1970;Processamento;Viniferas
Refosco;-;1970;Processamento;Viniferas
Rondinella;-;1970;Processamento;Viniferas
Ruby Cabernet;-;1970;Processamento;Viniferas
Sangiovese;27.566;1970;Processamento;Viniferas
Saperavi;-;1970;Processamento;Viniferas
Sira (falsa);3.127.989;1970;Processamento;Viniferas
Tannat;-;1970;Processamento;Viniferas
Tempranillo;-;1970;Processamento;Viniferas
Teroldego;-;1970;Processamento;Viniferas
Torrontes;-;1970;Processamento;Viniferas
