Produto;Quantidade (L.);Year;Category
VINHO DE MESA;217.208.604;1970;Producao
Tinto;174.224.052;1970;Producao
Branco;748.400;1970;Producao
Rosado;42.236.152;1970;Producao
VINHO FINO DE MESA (VINIFERA);23.899.346;1970;Producao
Tinto;7.591.557;1970;Producao
Branco;15.562.889;1970;Producao
Rosado;744.900;1970;Producao
SUCO;1.097.771;1970;Producao
Suco de uva integral;1.097.771;1970;Producao
Suco de uva concentrado;-;1970;Producao
Suco de uva adoçado;-;1970;Producao
Suco de uva orgânico;-;1970;Producao
Suco de uva reconstituído;-;1970;Producao
DERIVADOS;14.164.329;1970;Producao
Espumante;-;1970;Producao
Espumante moscatel;-;1970;Producao
Base espumante;-;1970;Producao
Base espumante moscatel;-;1970;Producao
Base Champenoise champanha;-;1970;Producao
Base Charmat champanha;-;1970;Producao
Bebida de uva;-;1970;Producao
Polpa de uva;-;1970;Producao
Mosto simples;7.170.736;1970;Producao
Mosto concentrado;-;1970;Producao
Mosto de uva com bagaço;-;1970;Producao
Mosto dessulfitado;-;1970;Producao
Mistelas;1.072.100;1970;Producao
Néctar de uva;-;1970;Producao
Licorosos;282.500;1970;Producao
Compostos;-;1970;Producao
Jeropiga;-;1970;Producao
Filtrado;-;1970;Producao
Frisante;-;1970;Producao
Vinho leve;-;1970;Producao
Vinho licoroso;-;1970;Producao
Brandy;-;1970;Producao
Destilado;830.030;1970;Producao
Bagaceira;961.290;1970;Producao
Licor de bagaceira;-;1970;Producao
Vinagre;-;1970;Producao
Borra líquida;3.847.673;1970;Producao
Borra seca;-;1970;Producao
Vinho Composto;-;1970;Producao
Pisco;-;1970;Producao
Vinho orgânico;-;1970;Producao
Espumante orgânico;-;1970;Producao
Destilado alcoólico simples de bagaceira;-;1970;Producao
Vinho acidificado;-;1970;Producao
Mosto parcialmente fermentado;-;1970;Producao
Outros derivados;-;1970;Producao
Total;256.370.050;1970;Producao
VINHO DE MESA;154.264.651;1971;Producao
Tinto;121.133.369;1971;Producao
Branco;1.160.500;1971;Producao
Rosado;31.970.782;1971;Producao
VINHO FINO DE MESA (VINIFERA);23.586.062;1971;Producao
Tinto;7.265.666;1971;Producao
Branco;15.655.709;1971;Producao
Rosado;664.687;1971;Producao
SUCO;2.296.654;1971;Producao
Suco de uva integral;2.296.654;1971;Producao
Suco de uva concentrado;-;1971;Producao
Suco de uva adoçado;-;1971;Producao
Suco de uva orgânico;-;1971;Producao
Suco de uva reconstituído;-;1971;Producao
DERIVADOS;13.280.518;1971;Producao
Espumante;-;1971;Producao
Espumante moscatel;-;1971;Producao
Base espumante;-;1971;Producao
Base espumante moscatel;-;1971;Producao
Base Champenoise champanha;-;1971;Producao
Base Charmat champanha;-;1971;Producao
Bebida de uva;-;1971;Producao
Polpa de uva;-;1971;Producao
Mosto simples;7.646.774;1971;Producao
Mosto concentrado;-;1971;Producao
Mosto de uva com bagaço;-;1971;Producao
Mosto dessulfitado;-;1971;Producao
Mistelas;818.400;1971;Producao
Néctar de uva;-;1971;Producao
Licorosos;270.000;1971;Producao
Compostos;45.000;1971;Producao
Jeropiga;-;1971;Producao
Filtrado;-;1971;Producao
Frisante;-;1971;Producao
Vinho leve;-;1971;Producao
Vinho licoroso;-;1971;Producao
Brandy;-;1971;Producao
Destilado;-;1971;Producao
Bagaceira;913.200;1971;Producao
Licor de bagaceira;-;1971;Producao
Vinagre;21.500;1971;Producao
Borra líquida;3.565.644;1971;Producao
Borra seca;-;1971;Producao
Vinho Composto;-;1971;Producao
Pisco;-;1971;Producao
Vinho orgânico;-;1971;Producao
Espumante orgânico;-;1971;Producao
Destilado alcoólico simples de bagaceira;-;1971;Producao
Vinho acidificado;-;1971;Producao
Mosto parcialmente fermentado;-;1971;Producao
Outros derivados;-;1971;Producao
Total;193.427.885;1971;Producao
VINHO DE MESA;146.953.297;1972;Producao
Tinto;118.180.926;1972;Producao
Branco;1.812.367;1972;Producao
Rosado;26.960.004;1972;Producao
VINHO FINO DE MESA (VINIFERA);21.078.771;1972;Producao
Tinto;6.782.837;1972;Producao
Branco;13.289.304;1972;Producao
Rosado;1.006.630;1972;Producao
SUCO;3.509.440;1972;Producao
Suco de uva integral;3.509.440;1972;Producao
Suco de uva concentrado;-;1972;Producao
Suco de uva adoçado;-;1972;Producao
Suco de uva orgânico;-;1972;Producao
Suco de uva reconstituído;-;1972;Producao
DERIVADOS;12.314.509;1972;Producao
Espumante;-;1972;Producao
Espumante moscatel;-;1972;Producao
Base espumante;-;1972;Producao
Base espumante moscatel;-;1972;Producao
Base Champenoise champanha;-;1972;Producao
Base Charmat champanha;-;1972;Producao
Bebida de uva;-;1972;Producao
Polpa de uva;-;1972;Producao
Mosto simples;6.051.822;1972;Producao
Mosto concentrado;-;1972;Producao
Mosto de uva com bagaço;-;1972;Producao
Mosto dessulfitado;-;1972;Producao
Mistelas;871.200;1972;Producao
Néctar de uva;-;1972;Producao
Licorosos;254.600;1972;Producao
Compostos;1.358.300;1972;Producao
Jeropiga;-;1972;Producao
Filtrado;-;1972;Producao
Frisante;-;1972;Producao
Vinho leve;-;1972;Producao
Vinho licoroso;-;1972;Producao
Brandy;-;1972;Producao
Destilado;-;1972;Producao
Bagaceira;755.350;1972;Producao
